NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
251284002103,3360005,2512840,336,KG,4,ACADEMY AVENUE,WEYMOUTH,NORFOLK COUNTY,94 ACADEMY AVENUE,WEYMOUTH,MA,2189,1311,7813354717,21,Suburb: Large,No,ñ,No,Ü,284.0,16.95,16.8,28.0,4.0
250002100511,4120530,2500021,412,5,12,ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC SCHOOL,ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),SUFFOLK COUNTY,1 WESTINGHOUSE PLAZA,HYDE PARK,MA,2136,190,6173610050,11,City: Large,Yes,ñ,Yes,Yes,500.0,36.8,13.6,197.0,54.0
250483000276,950055,2504830,95,2,5,ACESE,FALL RIVER,BRISTOL COUNTY,803 BEDFORD STREET,FALL RIVER,MA,2723,1203,5086754730,13,City: Small,No,ñ,Yes,No,19.0,4.58,4.1,16.0,0.0
250171000012,6000505,2501710,600,9,12,ACTON-BOXBOROUGH REGIONAL HIGH,ACTON-BOXBOROUGH,MIDDLESEX COUNTY,36 CHARTER RD,ACTON,MA,1720,3011,9782644700,21,Suburb: Large,No,ñ,No,Ü,1955.0,117.82,16.6,55.0,12.0
250174000014,30025,2501740,3,PK,4,ACUSHNET ELEMENTARY SCHOOL,ACUSHNET,BRISTOL COUNTY,800 MIDDLE ROAD,ACUSHNET,MA,2743,1410,5089980255,22,Suburb: Midsize,No,ñ,Yes,No,520.0,37.5,13.9,99.0,31.0
250008501984,4300305,2500085,430,6,12,ADVANCED MATH AND SCIENCE ACADEMY CHARTER SCHOOL,ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),MIDDLESEX COUNTY,201 FOREST STREET,MARLBOROUGH,MA,1752,,5085972400,21,Suburb: Large,Yes,ñ,Yes,No,963.0,80.36,12.0,30.0,25.0
250180001499,50003,2501800,5,PK,PK,AGAWAM EARLY CHILDHOOD CENTER,AGAWAM,HAMPDEN COUNTY,108 PERRY LANE,AGAWAM,MA,1001,2459,4138210597,21,Suburb: Large,No,ñ,No,Ü,118.0,7.0,16.9,21.0,2.0
250180000024,50505,2501800,5,9,12,AGAWAM HIGH,AGAWAM,HAMPDEN COUNTY,760 COOPER STREET,AGAWAM,MA,1001,2177,4138210521,21,Suburb: Large,No,ñ,No,Ü,1351.0,96.82,14.0,252.0,55.0
250180000025,50405,2501800,5,7,8,AGAWAM JUNIOR HIGH,AGAWAM,HAMPDEN COUNTY,1305 SPRINGFIELD ST,FEEDING HILLS,MA,1030,2180,4138210561,21,Suburb: Large,No,ñ,No,Ü,697.0,55.72,12.5,165.0,33.0
250174000015,30305,2501740,3,5,8,ALBERT F FORD MIDDLE SCHOOL,ACUSHNET,BRISTOL COUNTY,708 MIDDLE ROAD,ACUSHNET,MA,2743,1499,5089980265,22,Suburb: Midsize,No,ñ,No,Ü,485.0,35.04,13.8,85.0,40.0
251089001739,2740087,2510890,274,KG,8,ALBERT F. ARGENZIANO SCHOOL AT LINCOLN PARK,SOMERVILLE,MIDDLESEX COUNTY,290 WASHINGTON STREET,SOMERVILLE,MA,2143,3820,6176256600,21,Suburb: Large,No,ñ,Yes,Yes,555.0,40.11,13.8,344.0,77.0
251098001827,2760050,2510980,276,2,3,ALBERT S. WOODWARD MEMORIAL SCHOOL,SOUTHBOROUGH,WORCESTER COUNTY,28 CORDAVILLE ROAD,SOUTHBOROUGH,MA,1772,,5082291250,21,Suburb: Large,No,ñ,Yes,No,310.0,22.71,13.7,3.0,1.0
250384000521,670005,2503840,67,PK,5,ALCOTT,CONCORD,MIDDLESEX COUNTY,93 LAUREL STREET,CONCORD,MA,1742,,9783189544,21,Suburb: Large,No,ñ,Yes,No,416.0,33.88,12.3,38.0,4.0
250441000968,820004,2504410,82,3,5,ALDEN SCHOOL,DUXBURY,PLYMOUTH COUNTY,75 ALDEN STREET,DUXBURY,MA,2332,3871,7819347630,21,Suburb: Large,No,ñ,No,Ü,729.0,51.63,14.1,17.0,7.0
250666000950,1490015,2506660,149,2,8,ALEXANDER B BRUCE,LAWRENCE,ESSEX COUNTY,135 BUTLER STREET,LAWRENCE,MA,1841,4217,9789755935,21,Suburb: Large,No,ñ,Yes,Yes,585.0,43.91,13.3,496.0,31.0
251113001809,2810095,2511130,281,PK,8,ALFRED G ZANETTI,SPRINGFIELD,HAMPDEN COUNTY,474 ARMORY ST,SPRINGFIELD,MA,1105,2306,4137877400,12,City: Midsize,No,ñ,Yes,Yes,407.0,37.32,10.9,230.0,41.0
250843001326,2010063,2508430,201,PK,5,ALFRED J GOMES,NEW BEDFORD,BRISTOL COUNTY,286 S SECOND STREET,NEW BEDFORD,MA,2740,5899,5089974511,13,City: Small,No,ñ,Yes,Yes,859.0,43.98,19.5,581.0,18.0
250927001479,2260010,2509270,226,KG,2,ALFRED M CHAFFEE,OXFORD,WORCESTER COUNTY,9 CLOVER STREET,OXFORD,MA,1540,2299,5089876057,21,Suburb: Large,No,ñ,Yes,No,451.0,24.57,18.4,135.0,16.0
250891001441,7300505,2508910,730,9,12,ALGONQUIN REGIONAL HIGH,NORTHBORO-SOUTHBORO,WORCESTER COUNTY,79 BARTLETT STREET,NORTHBOROUGH,MA,1532,1657,5083517010,41,Rural: Fringe,No,ñ,No,Ü,1446.0,102.31,14.1,60.0,22.0
251278002090,3310015,2512780,331,PK,KG,ALICE A MACOMBER,WESTPORT,BRISTOL COUNTY,154 GIFFORD ROAD,WESTPORT,MA,2790,4201,5086788671,21,Suburb: Large,No,ñ,Yes,No,236.0,10.4,22.7,28.0,5.0
251113001792,2810175,2511130,281,KG,5,ALICE B BEAL ELEMENTARY,SPRINGFIELD,HAMPDEN COUNTY,285 TIFFANY STREET,SPRINGFIELD,MA,1108,3333,4137877544,12,City: Midsize,No,ñ,Yes,Yes,281.0,22.3,12.6,176.0,35.0
250999001604,2460002,2509990,246,KG,5,ALICE M BARROWS,READING,MIDDLESEX COUNTY,16 EDGEMONT AVENUE,READING,MA,1867,2216,7819429166,21,Suburb: Large,No,ñ,No,Ü,389.0,28.22,13.8,12.0,2.0
250873001400,2120005,2508730,212,KG,4,ALLEN AVENUE,NORTH ATTLEBOROUGH,BRISTOL COUNTY,290 ALLEN AVENUE,NORTH ATTLEBOROUGH,MA,2760,,5086432165,21,Suburb: Large,No,ñ,No,Ü,213.0,12.78,16.7,15.0,2.0
250963001516,2360010,2509630,236,KG,5,ALLENDALE,PITTSFIELD,BERKSHIRE COUNTY,180 CONNECTICUT AVENUE,PITTSFIELD,MA,1201,3614,4134489650,13,City: Small,No,ñ,No,Ü,322.0,18.56,17.3,148.0,20.0
250052502708,4090205,2500525,409,KG,2,ALMA DEL MAR CHARTER SCHOOL,ALMA DEL MAR CHARTER SCHOOL (DISTRICT),BRISTOL COUNTY,26 MADEIRA AVE,NEW BEDFORD,MA,2746,,7742066827,13,City: Small,Yes,ñ,Yes,Yes,120.0,13.88,8.6,74.0,9.0
251311002164,3440045,2513110,344,KG,5,AMBROSE ELEMENTARY,WINCHESTER,MIDDLESEX COUNTY,27 HIGH STREET,WINCHESTER,MA,1890,3398,7817217012,21,Suburb: Large,No,ñ,No,Ü,518.0,31.43,16.5,14.0,2.0
250006901666,4150505,2500069,415,9,12,AMESBURY ACADEMY CHARTER PUBLIC SCHOOL,AMESBURY ACADEMY CHARTER PUBLIC (DISTRICT),ESSEX COUNTY,71 FRIEND STREET,AMESBURY,MA,1913,,9783888037,21,Suburb: Large,Yes,ñ,Yes,Yes,49.0,5.47,9.0,27.0,2.0
250186000033,70005,2501860,7,PK,4,AMESBURY ELEMENTARY,AMESBURY,ESSEX COUNTY,20 SOUTH HAMPTON ROAD,AMESBURY,MA,1913,1199,9783883659,21,Suburb: Large,No,ñ,Yes,No,435.0,28.46,15.3,75.0,21.0
250186000034,70505,2501860,7,9,12,AMESBURY HIGH,AMESBURY,ESSEX COUNTY,5 HIGHLAND STREET,AMESBURY,MA,1913,3586,9783884800,21,Suburb: Large,No,ñ,No,Ü,609.0,42.14,14.5,91.0,36.0
250186000035,70013,2501860,7,5,8,AMESBURY MIDDLE,AMESBURY,ESSEX COUNTY,220 MAIN STREET,AMESBURY,MA,1913,3694,9783880515,21,Suburb: Large,No,ñ,No,Ü,742.0,49.83,14.9,158.0,51.0
250192000042,6050505,2501920,605,9,12,AMHERST REGIONAL HIGH,AMHERST-PELHAM,HAMPSHIRE COUNTY,21 MATTOON STREET,AMHERST,MA,1002,2107,4133621701,31,Town: Fringe,No,ñ,No,Ü,1083.0,80.49,13.5,216.0,44.0
250192000043,6050405,2501920,605,7,8,AMHERST REGIONAL MIDDLE SCHOOL,AMHERST-PELHAM,HAMPSHIRE COUNTY,170 CHESTNUT STREET,AMHERST,MA,1002,1825,4133621800,31,Town: Fringe,No,ñ,No,Ü,462.0,45.4,10.2,106.0,19.0
250327001621,490006,2503270,49,PK,8,AMIGOS SCHOOL,CAMBRIDGE,MIDDLESEX COUNTY,101 KINNAIRD STREET,CAMBRIDGE,MA,2139,,6173496567,12,City: Midsize,No,ñ,No,Ü,334.0,32.34,10.3,90.0,9.0
250873001401,2120007,2508730,212,KG,5,AMVET BOULEVARD,NORTH ATTLEBOROUGH,BRISTOL COUNTY,70 AMVET BOULEVARD,NORTH ATTLEBOROUGH,MA,2760,,5086432155,21,Suburb: Large,No,ñ,Yes,No,400.0,25.69,15.6,78.0,9.0
250195000045,90505,2501950,9,9,12,ANDOVER HIGH,ANDOVER,ESSEX COUNTY,80 SHAWSHEEN ROAD,ANDOVER,MA,1810,2999,9786238632,21,Suburb: Large,No,ñ,No,Ü,1784.0,117.55,15.2,98.0,18.0
250195002511,90310,2501950,9,6,8,ANDOVER WEST MIDDLE,ANDOVER,ESSEX COUNTY,70 SHAWSHEEN ROAD,ANDOVER,MA,1810,2998,9786238700,21,Suburb: Large,No,ñ,No,Ü,543.0,43.38,12.5,23.0,14.0
250402002698,720005,2504020,72,PK,KG,ANDREW B. CUSHMAN SCHOOL,DARTMOUTH,BRISTOL COUNTY,746 DARTMOUTH STREET,DARTMOUTH,MA,2748,,5089963926,22,Suburb: Midsize,No,ñ,No,Ü,133.0,10.08,13.2,26.0,4.0
250969001537,2380010,2509690,238,PK,3,ANNA WARE JACKSON,PLAINVILLE,NORFOLK COUNTY,68 MESSENGER STREET,PLAINVILLE,MA,2762,2259,5086991304,21,Suburb: Large,No,ñ,Yes,No,492.0,28.59,17.2,62.0,8.0
251299002142,3400005,2512990,340,3,6,ANNE T DUNPHY,WILLIAMSBURG,HAMPSHIRE COUNTY,1 PETTICOAT HILL ROAD,WILLIAMSBURG,MA,1096,,4132688421,41,Rural: Fringe,No,ñ,No,Ü,75.0,8.74,8.6,17.0,5.0
251260002055,3210010,2512600,321,KG,3,ANNIE E FALES,WESTBOROUGH,WORCESTER COUNTY,50 ELI WHITNEY STREET,WESTBOROUGH,MA,1581,3599,5088367770,21,Suburb: Large,No,ñ,No,Ü,293.0,24.38,12.0,11.0,0.0
250870000767,2110018,2508700,211,KG,5,ANNIE L SARGENT SCHOOL,NORTH ANDOVER,ESSEX COUNTY,300 ABBOTT STREET,NORTH ANDOVER,MA,1845,4728,9787253673,21,Suburb: Large,No,ñ,No,Ü,607.0,37.15,16.3,11.0,3.0
250501001785,1010040,2505010,101,6,8,ANNIE SULLIVAN MIDDLE SCHOOL,FRANKLIN,NORFOLK COUNTY,500 LINCOLN STREET,FRANKLIN,MA,2038,,5085530322,21,Suburb: Large,No,ñ,No,Ü,459.0,34.91,13.1,38.0,10.0
250279000698,350541,2502790,35,9,12,ANOTHER COURSE TO COLLEGE,BOSTON,SUFFOLK COUNTY,20 WARREN STREET,BRIGHTON,MA,2135,,6176358865,11,City: Large,No,ñ,Yes,Yes,210.0,16.73,12.6,129.0,26.0
250507000746,6650505,2505070,665,9,12,APPONEQUET REGIONAL HIGH,FREETOWN-LAKEVILLE,PLYMOUTH COUNTY,100 HOWLAND RD,LAKEVILLE,MA,2347,2230,5089472660,41,Rural: Fringe,No,ñ,No,Ü,832.0,53.13,15.7,64.0,19.0
250294000360,400033,2502940,40,KG,5,ARCHIE T MORRISON,BRAINTREE,NORFOLK COUNTY,260 LIBERTY STREET,BRAINTREE,MA,2184,6000,7813800230,21,Suburb: Large,No,ñ,Yes,No,421.0,33.16,12.7,86.0,18.0
250666001919,1490008,2506660,149,KG,4,ARLINGTON ELEMENTARY SCHOOL,LAWRENCE,ESSEX COUNTY,150 ARLINGTON STREET,LAWRENCE,MA,1841,,9789755928,21,Suburb: Large,No,ñ,Yes,Yes,516.0,38.0,13.6,469.0,16.0
250198000053,100505,2501980,10,9,12,ARLINGTON HIGH,ARLINGTON,MIDDLESEX COUNTY,869 MASS AVENUE,ARLINGTON,MA,2476,2,7813163591,21,Suburb: Large,No,ñ,No,Ü,1218.0,79.1,15.4,121.0,19.0
250666001945,1490017,2506660,149,5,8,ARLINGTON MIDDLE SCHOOL,LAWRENCE,ESSEX COUNTY,150 ARLINGTON STREET,LAWRENCE,MA,1841,,9789755926,21,Suburb: Large,No,ñ,Yes,Yes,457.0,38.9,11.7,409.0,19.0
251089001731,2740075,2510890,274,KG,8,ARTHUR D HEALEY,SOMERVILLE,MIDDLESEX COUNTY,5 MEACHAM STREET,SOMERVILLE,MA,2145,1504,6176256600,21,Suburb: Large,No,ñ,Yes,Yes,526.0,40.66,12.9,306.0,44.0
250489002672,970315,2504890,97,5,8,ARTHUR M LONGSJO MIDDLE SCHOOL,FITCHBURG,WORCESTER COUNTY,98 ACADEMY STREET,FITCHBURG,MA,1420,,9783453278,22,Suburb: Midsize,No,ñ,Yes,Yes,574.0,44.57,12.9,408.0,62.0
251113001795,2810165,2511130,281,KG,5,ARTHUR T TALMADGE,SPRINGFIELD,HAMPDEN COUNTY,1395 ALLEN STREET,SPRINGFIELD,MA,1118,1882,4137877249,12,City: Midsize,No,ñ,Yes,Yes,295.0,22.7,13.0,228.0,22.0
251317001841,3460020,2513170,346,3,5,ARTHUR T. CUMMINGS ELEMENTARY SCHOOL,WINTHROP,SUFFOLK COUNTY,40 HERMON STREET,WINTHROP,MA,2152,,6178465543,21,Suburb: Large,No,ñ,No,Ü,480.0,33.41,14.4,132.0,30.0
250999001605,2460305,2509990,246,6,8,ARTHUR W COOLIDGE MIDDLE,READING,MIDDLESEX COUNTY,89 BIRCH MEADOW DR,READING,MA,1867,1624,7819429158,21,Suburb: Large,No,ñ,No,Ü,466.0,36.86,12.6,13.0,5.0
250879001412,7350010,2508790,735,KG,4,ASHBY ELEMENTARY,NORTH MIDDLESEX,MIDDLESEX COUNTY,911 MAIN STREET,ASHBY,MA,1431,,9783867266,41,Rural: Fringe,No,ñ,Yes,No,180.0,14.75,12.2,28.0,7.0
250309002688,440421,2503090,44,6,8,ASHFIELD MIDDLE SCHOOL,BROCKTON,PLYMOUTH COUNTY,225 COE ROAD,BROCKTON,MA,2302,,5085807268,21,Suburb: Large,No,ñ,Yes,Yes,518.0,37.66,13.8,317.0,44.0
250210000070,140505,2502100,14,9,12,ASHLAND HIGH,ASHLAND,MIDDLESEX COUNTY,65 EAST UNION ST.,ASHLAND,MA,1721,1408,5088810177,21,Suburb: Large,No,ñ,No,Ü,717.0,50.11,14.3,56.0,11.0
250210000938,140405,2502100,14,6,8,ASHLAND MIDDLE,ASHLAND,MIDDLESEX COUNTY,87 WEST UNION STREET,ASHLAND,MA,1721,1408,5088810167,21,Suburb: Large,No,ñ,No,Ü,570.0,42.93,13.3,51.0,15.0
250211002257,8010605,2502110,801,9,12,ASSABET VALLEY VOCATIONAL HIGH SCHOOL,ASSABET VALLEY REGIONAL VOCATIONAL TECHNICAL,MIDDLESEX COUNTY,215 FITCHBURG STREET,MARLBOROUGH,MA,1752,1219,5084859430,21,Suburb: Large,No,ñ,Yes,No,1013.0,98.5,10.3,274.0,104.0
250507002739,6650002,2505070,665,KG,4,ASSAWOMPSET ELEMENTARY SCHOOL,FREETOWN-LAKEVILLE,PLYMOUTH COUNTY,232 MAIN STREET,LAKEVILLE,MA,2347,,5089471403,21,Suburb: Large,No,ñ,Yes,No,653.0,39.12,16.7,57.0,19.0
250987001560,2430040,2509870,243,KG,5,ATHERTON HOUGH,QUINCY,NORFOLK COUNTY,1084 SEA STREET,QUINCY,MA,2169,3521,6179848797,13,City: Small,No,ñ,No,Ü,291.0,19.74,14.7,52.0,13.0
250216000074,6150505,2502160,615,9,12,ATHOL HIGH,ATHOL-ROYALSTON,WORCESTER COUNTY,2363 MAIN STREET,ATHOL,MA,1331,3561,9782492435,41,Rural: Fringe,No,ñ,No,Ü,390.0,32.48,12.0,156.0,46.0
250216000176,6150305,2502160,615,5,8,ATHOL-ROYALSTON MIDDLE SCHOOL,ATHOL-ROYALSTON,WORCESTER COUNTY,1062 PLEASANT STREET,ATHOL,MA,1331,2555,9782492430,41,Rural: Fringe,No,ñ,Yes,Yes,418.0,33.03,12.7,174.0,37.0
250870001393,2110001,2508700,211,PK,5,ATKINSON,NORTH ANDOVER,ESSEX COUNTY,111 PHILLIPS BRKS RD,NORTH ANDOVER,MA,1845,3949,9787940124,21,Suburb: Large,No,ñ,Yes,No,501.0,34.03,14.7,95.0,43.0
250987001561,2430305,2509870,243,6,8,ATLANTIC MIDDLE,QUINCY,NORFOLK COUNTY,86 HOLLIS AVENUE,QUINCY,MA,2171,2335,6179848727,13,City: Small,No,ñ,No,Ü,458.0,29.9,15.3,203.0,49.0
250004100601,4910550,2500041,491,KG,8,ATLANTIS CHARTER SCHOOL,ATLANTIS CHARTER (DISTRICT),BRISTOL COUNTY,37 PARK STREET,FALL RIVER,MA,2721,,5086723537,13,City: Small,Yes,ñ,Yes,Yes,731.0,54.14,13.5,337.0,106.0
250219000084,160505,2502190,16,9,12,ATTLEBORO HIGH,ATTLEBORO,BRISTOL COUNTY,100 RATHBUN WILLARD DRIVE,ATTLEBORO,MA,2703,2710,5082225150,21,Suburb: Large,No,ñ,No,Ü,1756.0,114.38,15.4,500.0,129.0
250222002567,170305,2502220,17,6,8,AUBURN MIDDLE,AUBURN,WORCESTER COUNTY,10 SWANSON ROAD,AUBURN,MA,1501,1924,5088327722,21,Suburb: Large,No,ñ,Yes,No,545.0,42.25,12.9,90.0,50.0
250222000100,170505,2502220,17,9,12,AUBURN SENIOR HIGH,AUBURN,WORCESTER COUNTY,99 AUBURN STREET,AUBURN,MA,1501,2423,5088327711,21,Suburb: Large,No,ñ,No,Ü,771.0,57.0,13.5,85.0,43.0
250405000546,730010,2504050,73,1,5,AVERY,DEDHAM,NORFOLK COUNTY,123 HIGH STREET,DEDHAM,MA,2026,2829,7813265354,21,Suburb: Large,No,ñ,Yes,No,227.0,20.33,11.2,101.0,10.0
250225001295,180510,2502250,18,7,12,AVON MIDDLE HIGH SCHOOL,AVON,NORFOLK COUNTY,287 WEST MAIN STREET,AVON,MA,2322,,5085834822,21,Suburb: Large,No,ñ,No,Ü,351.0,32.43,10.8,68.0,44.0
250054202738,6160505,2500542,616,9,12,AYER SHIRLEY REGIONAL HIGH SCHOOL,AYER SHIRLEY SCHOOL DISTRICT,MIDDLESEX COUNTY,141 WASHINGTON STREET,AYER,MA,1432,,9787728600,21,Suburb: Large,No,ñ,No,Ü,307.0,28.45,10.8,77.0,23.0
250054202737,6160305,2500542,616,6,8,AYER SHIRLEY REGIONAL MIDDLE SCHOOL,AYER SHIRLEY SCHOOL DISTRICT,MIDDLESEX COUNTY,1 HOSPITAL ROAD,SHIRLEY,MA,1464,,9784250791,41,Rural: Fringe,No,ñ,No,Ü,398.0,36.23,11.0,120.0,27.0
250264000175,300055,2502640,30,KG,5,AYERS/RYAL SIDE SCHOOL,BEVERLY,ESSEX COUNTY,40 WOODLAND AVENUE,BEVERLY,MA,1915,3041,9789216116,21,Suburb: Large,No,ñ,Yes,No,477.0,29.14,16.4,141.0,17.0
250309000966,440080,2503090,44,7,12,B B RUSSELL ALTERNATIVE SCHOOL,BROCKTON,PLYMOUTH COUNTY,175 WARREN AVENUE,BROCKTON,MA,2301,3316,5085807033,21,Suburb: Large,No,ñ,No,Ü,91.0,14.3,6.4,75.0,9.0
250483000649,950505,2504830,95,9,12,B M C DURFEE HIGH,FALL RIVER,BRISTOL COUNTY,360 ELSBREE STREET,FALL RIVER,MA,2720,7230,5086758100,13,City: Small,No,ñ,No,Ü,2228.0,179.89,12.4,1402.0,210.0
250702001026,1600310,2507020,160,5,8,B.F.BUTLER MIDDLE SCHOOL,LOWELL,MIDDLESEX COUNTY,1140 GORHAM STREET,LOWELL,MA,1852,5019,9789378973,21,Suburb: Large,No,ñ,Yes,Yes,550.0,38.84,14.2,387.0,63.0
250906001460,2200005,2509060,220,1,5,BALCH,NORWOOD,NORFOLK COUNTY,1168 WASHINGTON STREET,NORWOOD,MA,2062,4333,7817620694,21,Suburb: Large,No,ñ,Yes,No,252.0,22.74,11.1,89.0,13.0
250279000011,350003,2502790,35,PK,1,BALDWIN EARLY LEARNING CENTER,BOSTON,SUFFOLK COUNTY,121 COREY ROAD,BRIGHTON,MA,2135,,6176358409,11,City: Large,No,ñ,Yes,Yes,192.0,14.0,13.7,74.0,19.0
250828001283,7200005,2508280,720,KG,4,BALDWINVILLE ELEMENTARY,NARRAGANSETT,WORCESTER COUNTY,16 SCHOOL STREET,BALDWINVILLE,MA,1436,1325,9789395318,22,Suburb: Midsize,No,ñ,Yes,No,244.0,16.27,15.0,77.0,26.0
251050002700,2620001,2510500,262,PK,PK,BALLARD SCHOOL,SAUGUS,ESSEX COUNTY,22 RICHARD STREET,SAUGUS,MA,1960,,7812315000,21,Suburb: Large,No,ñ,No,Ü,92.0,4.69,19.6,1.0,2.0
251113002744,2810360,2511130,281,6,8,BALLIET MIDDLE SCHOOL,SPRINGFIELD,HAMPDEN COUNTY,111 SEYMOUR STREET,SPRINGFIELD,MA,1102,,4137877284,12,City: Midsize,No,ñ,Yes,Yes,55.0,12.1,4.5,48.0,0.0
250195000047,90003,2501950,9,KG,5,BANCROFT ELEMENTARY,ANDOVER,ESSEX COUNTY,15 BANCROFT STREET,ANDOVER,MA,1810,,9786238880,21,Suburb: Large,No,ñ,Yes,No,494.0,32.91,15.0,31.0,0.0
250498000727,1000035,2504980,100,KG,5,BARBIERI ELEMENTARY,FRAMINGHAM,MIDDLESEX COUNTY,100 DUDLEY RD,FRAMINGHAM,MA,1701,6291,5086269187,13,City: Small,No,ñ,Yes,Yes,568.0,37.78,15.0,296.0,42.0
