State School ID,NCES District ID,State District ID,NCES DistrictID2,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,Reduced Lunch*
03360310,2512840,336,2512840,05,07,ABIGAIL ADAMS MIDDLE SCHOOL,WEYMOUTH,NORFOLK COUNTY,89 MIDDLE STREET,EAST WEYMOUTH,MA,02189,1359,7813351100,21,Suburb: Large,No,Ð,Yes,No,1030.00000,61.29000,16.8000000,279.00000,64.00000,0.00000
00010505,2501650,1,2501650,09,12,ABINGTON HIGH,ABINGTON,PLYMOUTH COUNTY,201 GLINIEWICZ WAY,ABINGTON,MA,02351,1999,7819822160,21,Suburb: Large,No,Ð,No, ,513.00000,38.87000,13.2000000,52.00000,12.00000,17.00000
03250020,2512630,325,2512630,KG,05,ABNER GIBBS,WESTFIELD,HAMPDEN COUNTY,50 WEST SILVER STREET,WESTFIELD,MA,01085,3899,4135726418,21,Suburb: Large,No,Ð,Yes,Yes,197.00000,17.00000,11.6000000,84.00000,18.00000,48.00000
01630011,2507110,163,2507110,KG,05,ABORN,LYNN,ESSEX COUNTY,409 EASTERN AVENUE,LYNN,MA,01902,1671,7814777320,21,Suburb: Large,No,Ð,Yes,Yes,243.00000,14.51000,16.7000000,120.00000,16.00000,33.00000
02480025,2510050,248,2510050,PK,05,ABRAHAM LINCOLN,REVERE,SUFFOLK COUNTY,68 TUCKERMAN STREET,REVERE,MA,02151,2335,7812868270,21,Suburb: Large,No,Ð,Yes,Yes,603.00000,34.78000,17.3000000,354.00000,56.00000,2.00000
01600020,2507020,160,2507020,PK,04,ABRAHAM LINCOLN,LOWELL,MIDDLESEX COUNTY,300 CHELMSFORD STREET,LOWELL,MA,01851,3309,9789372846,21,Suburb: Large,No,Ð,Yes,Yes,495.00000,35.00000,14.1000000,378.00000,47.00000,26.00000
02010095,2508430,201,2508430,KG,05,ABRAHAM LINCOLN,NEW BEDFORD,BRISTOL COUNTY,445 ASHLEY BLVD,NEW BEDFORD,MA,02745,5213,5089974511,13,City: Small,No,Ð,Yes,Yes,717.00000,38.09000,18.8000000,482.00000,34.00000,32.00000
03360005,2512840,336,2512840,KG,04,ACADEMY AVENUE,WEYMOUTH,NORFOLK COUNTY,94 ACADEMY AVENUE,WEYMOUTH,MA,02189,1311,7813354717,21,Suburb: Large,No,Ð,No, ,284.00000,16.95000,16.8000000,28.00000,4.00000,51.00000
04120530,2500021,412,2500021,05,12,ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC SCHOOL,ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),SUFFOLK COUNTY,1 WESTINGHOUSE PLAZA,HYDE PARK,MA,02136,0190,6173610050,11,City: Large,Yes,Ð,Yes,Yes,500.00000,36.80000,13.6000000,197.00000,54.00000,9.00000
00950055,2504830,95,2504830,02,05,ACESE,FALL RIVER,BRISTOL COUNTY,803 BEDFORD STREET,FALL RIVER,MA,02723,1203,5086754730,13,City: Small,No,Ð,Yes,No,19.00000,4.58000,4.1000000,16.00000,0.00000,2.00000
06000505,2501710,600,2501710,09,12,ACTON-BOXBOROUGH REGIONAL HIGH,ACTON-BOXBOROUGH,MIDDLESEX COUNTY,36 CHARTER RD,ACTON,MA,01720,3011,9782644700,21,Suburb: Large,No,Ð,No, ,1955.00000,117.82000,16.6000000,55.00000,12.00000,16.00000
00030025,2501740,3,2501740,PK,04,ACUSHNET ELEMENTARY SCHOOL,ACUSHNET,BRISTOL COUNTY,800 MIDDLE ROAD,ACUSHNET,MA,02743,1410,5089980255,22,Suburb: Midsize,No,Ð,Yes,No,520.00000,37.50000,13.9000000,99.00000,31.00000,52.00000
04300305,2500085,430,2500085,06,12,ADVANCED MATH AND SCIENCE ACADEMY CHARTER SCHOOL,ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),MIDDLESEX COUNTY,201 FOREST STREET,MARLBOROUGH,MA,01752,,5085972400,21,Suburb: Large,Yes,Ð,Yes,No,963.00000,80.36000,12.0000000,30.00000,25.00000,3.00000
00050003,2501800,5,2501800,PK,PK,AGAWAM EARLY CHILDHOOD CENTER,AGAWAM,HAMPDEN COUNTY,108 PERRY LANE,AGAWAM,MA,01001,2459,4138210597,21,Suburb: Large,No,Ð,No, ,118.00000,7.00000,16.9000000,21.00000,2.00000,3.00000
00050505,2501800,5,2501800,09,12,AGAWAM HIGH,AGAWAM,HAMPDEN COUNTY,760 COOPER STREET,AGAWAM,MA,01001,2177,4138210521,21,Suburb: Large,No,Ð,No, ,1351.00000,96.82000,14.0000000,252.00000,55.00000,0.00000
00050405,2501800,5,2501800,07,08,AGAWAM JUNIOR HIGH,AGAWAM,HAMPDEN COUNTY,1305 SPRINGFIELD ST,FEEDING HILLS,MA,01030,2180,4138210561,21,Suburb: Large,No,Ð,No, ,697.00000,55.72000,12.5000000,165.00000,33.00000,20.00000
00030305,2501740,3,2501740,05,08,ALBERT F FORD MIDDLE SCHOOL,ACUSHNET,BRISTOL COUNTY,708 MIDDLE ROAD,ACUSHNET,MA,02743,1499,5089980265,22,Suburb: Midsize,No,Ð,No, ,485.00000,35.04000,13.8000000,85.00000,40.00000, 
02740087,2510890,274,2510890,KG,08,ALBERT F. ARGENZIANO SCHOOL AT LINCOLN PARK,SOMERVILLE,MIDDLESEX COUNTY,290 WASHINGTON STREET,SOMERVILLE,MA,02143,3820,6176256600,21,Suburb: Large,No,Ð,Yes,Yes,555.00000,40.11000,13.8000000,344.00000,77.00000,13.00000
02760050,2510980,276,2510980,02,03,ALBERT S. WOODWARD MEMORIAL SCHOOL,SOUTHBOROUGH,WORCESTER COUNTY,28 CORDAVILLE ROAD,SOUTHBOROUGH,MA,01772,,5082291250,21,Suburb: Large,No,Ð,Yes,No,310.00000,22.71000,13.7000000,3.00000,1.00000,20.00000
00670005,2503840,67,2503840,PK,05,ALCOTT,CONCORD,MIDDLESEX COUNTY,93 LAUREL STREET,CONCORD,MA,01742,,9783189544,21,Suburb: Large,No,Ð,Yes,No,416.00000,33.88000,12.3000000,38.00000,4.00000,22.00000
00820004,2504410,82,2504410,03,05,ALDEN SCHOOL,DUXBURY,PLYMOUTH COUNTY,75 ALDEN STREET,DUXBURY,MA,02332,3871,7819347630,21,Suburb: Large,No,Ð,No, ,729.00000,51.63000,14.1000000,17.00000,7.00000,0.00000
01490015,2506660,149,2506660,02,08,ALEXANDER B BRUCE,LAWRENCE,ESSEX COUNTY,135 BUTLER STREET,LAWRENCE,MA,01841,4217,9789755935,21,Suburb: Large,No,Ð,Yes,Yes,585.00000,43.91000,13.3000000,496.00000,31.00000,16.00000
02810095,2511130,281,2511130,PK,08,ALFRED G ZANETTI,SPRINGFIELD,HAMPDEN COUNTY,474 ARMORY ST,SPRINGFIELD,MA,01105,2306,4137877400,12,City: Midsize,No,Ð,Yes,Yes,407.00000,37.32000,10.9000000,230.00000,41.00000,56.00000
02010063,2508430,201,2508430,PK,05,ALFRED J GOMES,NEW BEDFORD,BRISTOL COUNTY,286 S SECOND STREET,NEW BEDFORD,MA,02740,5899,5089974511,13,City: Small,No,Ð,Yes,Yes,859.00000,43.98000,19.5000000,581.00000,18.00000,29.00000
02260010,2509270,226,2509270,KG,02,ALFRED M CHAFFEE,OXFORD,WORCESTER COUNTY,9 CLOVER STREET,OXFORD,MA,01540,2299,5089876057,21,Suburb: Large,No,Ð,Yes,No,451.00000,24.57000,18.4000000,135.00000,16.00000,6.00000
07300505,2508910,730,2508910,09,12,ALGONQUIN REGIONAL HIGH,NORTHBORO-SOUTHBORO,WORCESTER COUNTY,79 BARTLETT STREET,NORTHBOROUGH,MA,01532,1657,5083517010,41,Rural: Fringe,No,Ð,No, ,1446.00000,102.31000,14.1000000,60.00000,22.00000,2.00000
03310015,2512780,331,2512780,PK,KG,ALICE A MACOMBER,WESTPORT,BRISTOL COUNTY,154 GIFFORD ROAD,WESTPORT,MA,02790,4201,5086788671,21,Suburb: Large,No,Ð,Yes,No,236.00000,10.40000,22.7000000,28.00000,5.00000,8.00000
02810175,2511130,281,2511130,KG,05,ALICE B BEAL ELEMENTARY,SPRINGFIELD,HAMPDEN COUNTY,285 TIFFANY STREET,SPRINGFIELD,MA,01108,3333,4137877544,12,City: Midsize,No,Ð,Yes,Yes,281.00000,22.30000,12.6000000,176.00000,35.00000,14.00000
02460002,2509990,246,2509990,KG,05,ALICE M BARROWS,READING,MIDDLESEX COUNTY,16 EDGEMONT AVENUE,READING,MA,01867,2216,7819429166,21,Suburb: Large,No,Ð,No, ,389.00000,28.22000,13.8000000,12.00000,2.00000,14.00000
02120005,2508730,212,2508730,KG,04,ALLEN AVENUE,NORTH ATTLEBOROUGH,BRISTOL COUNTY,290 ALLEN AVENUE,NORTH ATTLEBOROUGH,MA,02760,,5086432165,21,Suburb: Large,No,Ð,No, ,213.00000,12.78000,16.7000000,15.00000,2.00000,46.00000
02360010,2509630,236,2509630,KG,05,ALLENDALE,PITTSFIELD,BERKSHIRE COUNTY,180 CONNECTICUT AVENUE,PITTSFIELD,MA,01201,3614,4134489650,13,City: Small,No,Ð,No, ,322.00000,18.56000,17.3000000,148.00000,20.00000,31.00000
04090205,2500525,409,2500525,KG,02,ALMA DEL MAR CHARTER SCHOOL,ALMA DEL MAR CHARTER SCHOOL (DISTRICT),BRISTOL COUNTY,26 MADEIRA AVE,NEW BEDFORD,MA,02746,,7742066827,13,City: Small,Yes,Ð,Yes,Yes,120.00000,13.88000,8.6000000,74.00000,9.00000,45.00000
03440045,2513110,344,2513110,KG,05,AMBROSE ELEMENTARY,WINCHESTER,MIDDLESEX COUNTY,27 HIGH STREET,WINCHESTER,MA,01890,3398,7817217012,21,Suburb: Large,No,Ð,No, ,518.00000,31.43000,16.5000000,14.00000,2.00000,27.00000
04150505,2500069,415,2500069,09,12,AMESBURY ACADEMY CHARTER PUBLIC SCHOOL,AMESBURY ACADEMY CHARTER PUBLIC (DISTRICT),ESSEX COUNTY,71 FRIEND STREET,AMESBURY,MA,01913,,9783888037,21,Suburb: Large,Yes,Ð,Yes,Yes,49.00000,5.47000,9.0000000,27.00000,2.00000,12.00000
00070005,2501860,7,2501860,PK,04,AMESBURY ELEMENTARY,AMESBURY,ESSEX COUNTY,20 SOUTH HAMPTON ROAD,AMESBURY,MA,01913,1199,9783883659,21,Suburb: Large,No,Ð,Yes,No,435.00000,28.46000,15.3000000,75.00000,21.00000,24.00000
00070505,2501860,7,2501860,09,12,AMESBURY HIGH,AMESBURY,ESSEX COUNTY,5 HIGHLAND STREET,AMESBURY,MA,01913,3586,9783884800,21,Suburb: Large,No,Ð,No, ,609.00000,42.14000,14.5000000,91.00000,36.00000,2.00000
00070013,2501860,7,2501860,05,08,AMESBURY MIDDLE,AMESBURY,ESSEX COUNTY,220 MAIN STREET,AMESBURY,MA,01913,3694,9783880515,21,Suburb: Large,No,Ð,No, ,742.00000,49.83000,14.9000000,158.00000,51.00000,17.00000
06050505,2501920,605,2501920,09,12,AMHERST REGIONAL HIGH,AMHERST-PELHAM,HAMPSHIRE COUNTY,21 MATTOON STREET,AMHERST,MA,01002,2107,4133621701,31,Town: Fringe,No,Ð,No, ,1083.00000,80.49000,13.5000000,216.00000,44.00000,23.00000
06050405,2501920,605,2501920,07,08,AMHERST REGIONAL MIDDLE SCHOOL,AMHERST-PELHAM,HAMPSHIRE COUNTY,170 CHESTNUT STREET,AMHERST,MA,01002,1825,4133621800,31,Town: Fringe,No,Ð,No, ,462.00000,45.40000,10.2000000,106.00000,19.00000,16.00000
00490006,2503270,49,2503270,PK,08,AMIGOS SCHOOL,CAMBRIDGE,MIDDLESEX COUNTY,101 KINNAIRD STREET,CAMBRIDGE,MA,02139,,6173496567,12,City: Midsize,No,Ð,No, ,334.00000,32.34000,10.3000000,90.00000,9.00000,8.00000
02120007,2508730,212,2508730,KG,05,AMVET BOULEVARD,NORTH ATTLEBOROUGH,BRISTOL COUNTY,70 AMVET BOULEVARD,NORTH ATTLEBOROUGH,MA,02760,,5086432155,21,Suburb: Large,No,Ð,Yes,No,400.00000,25.69000,15.6000000,78.00000,9.00000,2.00000
00090505,2501950,9,2501950,09,12,ANDOVER HIGH,ANDOVER,ESSEX COUNTY,80 SHAWSHEEN ROAD,ANDOVER,MA,01810,2999,9786238632,21,Suburb: Large,No,Ð,No, ,1784.00000,117.55000,15.2000000,98.00000,18.00000,46.00000
00090310,2501950,9,2501950,06,08,ANDOVER WEST MIDDLE,ANDOVER,ESSEX COUNTY,70 SHAWSHEEN ROAD,ANDOVER,MA,01810,2998,9786238700,21,Suburb: Large,No,Ð,No, ,543.00000,43.38000,12.5000000,23.00000,14.00000,16.00000
00720005,2504020,72,2504020,PK,KG,ANDREW B. CUSHMAN SCHOOL,DARTMOUTH,BRISTOL COUNTY,746 DARTMOUTH STREET,DARTMOUTH,MA,02748,,5089963926,22,Suburb: Midsize,No,Ð,No, ,133.00000,10.08000,13.2000000,26.00000,4.00000,26.00000
02380010,2509690,238,2509690,PK,03,ANNA WARE JACKSON,PLAINVILLE,NORFOLK COUNTY,68 MESSENGER STREET,PLAINVILLE,MA,02762,2259,5086991304,21,Suburb: Large,No,Ð,Yes,No,492.00000,28.59000,17.2000000,62.00000,8.00000,3.00000
03400005,2512990,340,2512990,03,06,ANNE T DUNPHY,WILLIAMSBURG,HAMPSHIRE COUNTY,1 PETTICOAT HILL ROAD,WILLIAMSBURG,MA,01096,,4132688421,41,Rural: Fringe,No,Ð,No, ,75.00000,8.74000,8.6000000,17.00000,5.00000,12.00000
03210010,2512600,321,2512600,KG,03,ANNIE E FALES,WESTBOROUGH,WORCESTER COUNTY,50 ELI WHITNEY STREET,WESTBOROUGH,MA,01581,3599,5088367770,21,Suburb: Large,No,Ð,No, ,293.00000,24.38000,12.0000000,11.00000,0.00000,3.00000
02110018,2508700,211,2508700,KG,05,ANNIE L SARGENT SCHOOL,NORTH ANDOVER,ESSEX COUNTY,300 ABBOTT STREET,NORTH ANDOVER,MA,01845,4728,9787253673,21,Suburb: Large,No,Ð,No, ,607.00000,37.15000,16.3000000,11.00000,3.00000,22.00000
01010040,2505010,101,2505010,06,08,ANNIE SULLIVAN MIDDLE SCHOOL,FRANKLIN,NORFOLK COUNTY,500 LINCOLN STREET,FRANKLIN,MA,02038,,5085530322,21,Suburb: Large,No,Ð,No, ,459.00000,34.91000,13.1000000,38.00000,10.00000,5.00000
00350541,2502790,35,2502790,09,12,ANOTHER COURSE TO COLLEGE,BOSTON,SUFFOLK COUNTY,20 WARREN STREET,BRIGHTON,MA,02135,,6176358865,11,City: Large,No,Ð,Yes,Yes,210.00000,16.73000,12.6000000,129.00000,26.00000,6.00000
06650505,2505070,665,2505070,09,12,APPONEQUET REGIONAL HIGH,FREETOWN-LAKEVILLE,PLYMOUTH COUNTY,100 HOWLAND RD,LAKEVILLE,MA,02347,2230,5089472660,41,Rural: Fringe,No,Ð,No, ,832.00000,53.13000,15.7000000,64.00000,19.00000,12.00000
00400033,2502940,40,2502940,KG,05,ARCHIE T MORRISON,BRAINTREE,NORFOLK COUNTY,260 LIBERTY STREET,BRAINTREE,MA,02184,6000,7813800230,21,Suburb: Large,No,Ð,Yes,No,421.00000,33.16000,12.7000000,86.00000,18.00000,8.00000
01490008,2506660,149,2506660,KG,04,ARLINGTON ELEMENTARY SCHOOL,LAWRENCE,ESSEX COUNTY,150 ARLINGTON STREET,LAWRENCE,MA,01841,,9789755928,21,Suburb: Large,No,Ð,Yes,Yes,516.00000,38.00000,13.6000000,469.00000,16.00000,15.00000
00100505,2501980,10,2501980,09,12,ARLINGTON HIGH,ARLINGTON,MIDDLESEX COUNTY,869 MASS AVENUE,ARLINGTON,MA,02476,0002,7813163591,21,Suburb: Large,No,Ð,No, ,1218.00000,79.10000,15.4000000,121.00000,19.00000,3.00000
01490017,2506660,149,2506660,05,08,ARLINGTON MIDDLE SCHOOL,LAWRENCE,ESSEX COUNTY,150 ARLINGTON STREET,LAWRENCE,MA,01841,,9789755926,21,Suburb: Large,No,Ð,Yes,Yes,457.00000,38.90000,11.7000000,409.00000,19.00000,13.00000
02740075,2510890,274,2510890,KG,08,ARTHUR D HEALEY,SOMERVILLE,MIDDLESEX COUNTY,5 MEACHAM STREET,SOMERVILLE,MA,02145,1504,6176256600,21,Suburb: Large,No,Ð,Yes,Yes,526.00000,40.66000,12.9000000,306.00000,44.00000,20.00000
00970315,2504890,97,2504890,05,08,ARTHUR M LONGSJO MIDDLE SCHOOL,FITCHBURG,WORCESTER COUNTY,98 ACADEMY STREET,FITCHBURG,MA,01420,,9783453278,22,Suburb: Midsize,No,Ð,Yes,Yes,574.00000,44.57000,12.9000000,408.00000,62.00000,7.00000
02810165,2511130,281,2511130,KG,05,ARTHUR T TALMADGE,SPRINGFIELD,HAMPDEN COUNTY,1395 ALLEN STREET,SPRINGFIELD,MA,01118,1882,4137877249,12,City: Midsize,No,Ð,Yes,Yes,295.00000,22.70000,13.0000000,228.00000,22.00000,4.00000
03460020,2513170,346,2513170,03,05,ARTHUR T. CUMMINGS ELEMENTARY SCHOOL,WINTHROP,SUFFOLK COUNTY,40 HERMON STREET,WINTHROP,MA,02152,,6178465543,21,Suburb: Large,No,Ð,No, ,480.00000,33.41000,14.4000000,132.00000,30.00000,75.00000
02460305,2509990,246,2509990,06,08,ARTHUR W COOLIDGE MIDDLE,READING,MIDDLESEX COUNTY,89 BIRCH MEADOW DR,READING,MA,01867,1624,7819429158,21,Suburb: Large,No,Ð,No, ,466.00000,36.86000,12.6000000,13.00000,5.00000,32.00000
07350010,2508790,735,2508790,KG,04,ASHBY ELEMENTARY,NORTH MIDDLESEX,MIDDLESEX COUNTY,911 MAIN STREET,ASHBY,MA,01431,,9783867266,41,Rural: Fringe,No,Ð,Yes,No,180.00000,14.75000,12.2000000,28.00000,7.00000,16.00000
00440421,2503090,44,2503090,06,08,ASHFIELD MIDDLE SCHOOL,BROCKTON,PLYMOUTH COUNTY,225 COE ROAD,BROCKTON,MA,02302,,5085807268,21,Suburb: Large,No,Ð,Yes,Yes,518.00000,37.66000,13.8000000,317.00000,44.00000,18.00000
00140505,2502100,14,2502100,09,12,ASHLAND HIGH,ASHLAND,MIDDLESEX COUNTY,65 EAST UNION ST.,ASHLAND,MA,01721,1408,5088810177,21,Suburb: Large,No,Ð,No, ,717.00000,50.11000,14.3000000,56.00000,11.00000,8.00000
00140405,2502100,14,2502100,06,08,ASHLAND MIDDLE,ASHLAND,MIDDLESEX COUNTY,87 WEST UNION STREET,ASHLAND,MA,01721,1408,5088810167,21,Suburb: Large,No,Ð,No, ,570.00000,42.93000,13.3000000,51.00000,15.00000,37.00000
08010605,2502110,801,2502110,09,12,ASSABET VALLEY VOCATIONAL HIGH SCHOOL,ASSABET VALLEY REGIONAL VOCATIONAL TECHNICAL,MIDDLESEX COUNTY,215 FITCHBURG STREET,MARLBOROUGH,MA,01752,1219,5084859430,21,Suburb: Large,No,Ð,Yes,No,1013.00000,98.50000,10.3000000,274.00000,104.00000,12.00000
06650002,2505070,665,2505070,KG,04,ASSAWOMPSET ELEMENTARY SCHOOL,FREETOWN-LAKEVILLE,PLYMOUTH COUNTY,232 MAIN STREET,LAKEVILLE,MA,02347,,5089471403,21,Suburb: Large,No,Ð,Yes,No,653.00000,39.12000,16.7000000,57.00000,19.00000,4.00000
02430040,2509870,243,2509870,KG,05,ATHERTON HOUGH,QUINCY,NORFOLK COUNTY,1084 SEA STREET,QUINCY,MA,02169,3521,6179848797,13,City: Small,No,Ð,No, ,291.00000,19.74000,14.7000000,52.00000,13.00000,68.00000
06150505,2502160,615,2502160,09,12,ATHOL HIGH,ATHOL-ROYALSTON,WORCESTER COUNTY,2363 MAIN STREET,ATHOL,MA,01331,3561,9782492435,41,Rural: Fringe,No,Ð,No, ,390.00000,32.48000,12.0000000,156.00000,46.00000,27.00000
06150305,2502160,615,2502160,05,08,ATHOL-ROYALSTON MIDDLE SCHOOL,ATHOL-ROYALSTON,WORCESTER COUNTY,1062 PLEASANT STREET,ATHOL,MA,01331,2555,9782492430,41,Rural: Fringe,No,Ð,Yes,Yes,418.00000,33.03000,12.7000000,174.00000,37.00000,48.00000
02110001,2508700,211,2508700,PK,05,ATKINSON,NORTH ANDOVER,ESSEX COUNTY,111 PHILLIPS BRKS RD,NORTH ANDOVER,MA,01845,3949,9787940124,21,Suburb: Large,No,Ð,Yes,No,501.00000,34.03000,14.7000000,95.00000,43.00000,12.00000
02430305,2509870,243,2509870,06,08,ATLANTIC MIDDLE,QUINCY,NORFOLK COUNTY,86 HOLLIS AVENUE,QUINCY,MA,02171,2335,6179848727,13,City: Small,No,Ð,No, ,458.00000,29.90000,15.3000000,203.00000,49.00000,18.00000
04910550,2500041,491,2500041,KG,08,ATLANTIS CHARTER SCHOOL,ATLANTIS CHARTER (DISTRICT),BRISTOL COUNTY,37 PARK STREET,FALL RIVER,MA,02721,,5086723537,13,City: Small,Yes,Ð,Yes,Yes,731.00000,54.14000,13.5000000,337.00000,106.00000,9.00000
00160505,2502190,16,2502190,09,12,ATTLEBORO HIGH,ATTLEBORO,BRISTOL COUNTY,100 RATHBUN WILLARD DRIVE,ATTLEBORO,MA,02703,2710,5082225150,21,Suburb: Large,No,Ð,No, ,1756.00000,114.38000,15.4000000,500.00000,129.00000,22.00000
00170305,2502220,17,2502220,06,08,AUBURN MIDDLE,AUBURN,WORCESTER COUNTY,10 SWANSON ROAD,AUBURN,MA,01501,1924,5088327722,21,Suburb: Large,No,Ð,Yes,No,545.00000,42.25000,12.9000000,90.00000,50.00000,4.00000
00170505,2502220,17,2502220,09,12,AUBURN SENIOR HIGH,AUBURN,WORCESTER COUNTY,99 AUBURN STREET,AUBURN,MA,01501,2423,5088327711,21,Suburb: Large,No,Ð,No, ,771.00000,57.00000,13.5000000,85.00000,43.00000,6.00000
00730010,2504050,73,2504050,01,05,AVERY,DEDHAM,NORFOLK COUNTY,123 HIGH STREET,DEDHAM,MA,02026,2829,7813265354,21,Suburb: Large,No,Ð,Yes,No,227.00000,20.33000,11.2000000,101.00000,10.00000,9.00000
00180510,2502250,18,2502250,07,12,AVON MIDDLE HIGH SCHOOL,AVON,NORFOLK COUNTY,287 WEST MAIN STREET,AVON,MA,02322,,5085834822,21,Suburb: Large,No,Ð,No, ,351.00000,32.43000,10.8000000,68.00000,44.00000,27.00000
06160505,2500542,616,2500542,09,12,AYER SHIRLEY REGIONAL HIGH SCHOOL,AYER SHIRLEY SCHOOL DISTRICT,MIDDLESEX COUNTY,141 WASHINGTON STREET,AYER,MA,01432,,9787728600,21,Suburb: Large,No,Ð,No, ,307.00000,28.45000,10.8000000,77.00000,23.00000,25.00000
06160305,2500542,616,2500542,06,08,AYER SHIRLEY REGIONAL MIDDLE SCHOOL,AYER SHIRLEY SCHOOL DISTRICT,MIDDLESEX COUNTY,1 HOSPITAL ROAD,SHIRLEY,MA,01464,,9784250791,41,Rural: Fringe,No,Ð,No, ,398.00000,36.23000,11.0000000,120.00000,27.00000,152.00000
00300055,2502640,30,2502640,KG,05,AYERS/RYAL SIDE SCHOOL,BEVERLY,ESSEX COUNTY,40 WOODLAND AVENUE,BEVERLY,MA,01915,3041,9789216116,21,Suburb: Large,No,Ð,Yes,No,477.00000,29.14000,16.4000000,141.00000,17.00000,17.00000
00440080,2503090,44,2503090,07,12,B B RUSSELL ALTERNATIVE SCHOOL,BROCKTON,PLYMOUTH COUNTY,175 WARREN AVENUE,BROCKTON,MA,02301,3316,5085807033,21,Suburb: Large,No,Ð,No, ,91.00000,14.30000,6.4000000,75.00000,9.00000,6.00000
00950505,2504830,95,2504830,09,12,B M C DURFEE HIGH,FALL RIVER,BRISTOL COUNTY,360 ELSBREE STREET,FALL RIVER,MA,02720,7230,5086758100,13,City: Small,No,Ð,No, ,2228.00000,179.89000,12.4000000,1402.00000,210.00000,2.00000
01600310,2507020,160,2507020,05,08,B.F.BUTLER MIDDLE SCHOOL,LOWELL,MIDDLESEX COUNTY,1140 GORHAM STREET,LOWELL,MA,01852,5019,9789378973,21,Suburb: Large,No,Ð,Yes,Yes,550.00000,38.84000,14.2000000,387.00000,63.00000,16.00000
